exp,graph_family,n,p,seed,algo,layers,width,bipartite_n,m,repeats,runtime_ns_median,runtime_ns_mean,runtime_ns_std,flow_value,cut_capacity,matching_size,edge_scans,bfs_edge_scans,dfs_edge_scans,bfs_count,augment_count,phase_count,dfs_calls,runtime_sec_median,runtime_sec_mean,runtime_sec_std
standard,bipartite,402,0.05,9,dinic,,,200.0,2418,15,2620000.0,2746633.4,229068.50721775665,200.0,200.0,200.0,24555,14708,9847,4,0,4,2434,0.00262,0.0027466333999999998,0.00022906850721775664
standard,bipartite,402,0.05,9,edmonds_karp,,,200.0,2418,15,21810875.0,21882327.733333334,311367.72535872593,200.0,200.0,200.0,306636,306636,0,201,200,0,0,0.021810875,0.021882327733333335,0.00031136772535872594
standard,bipartite,402,0.08,0,dinic,,,200.0,3650,15,2598625.0,2632555.6,178520.31575257765,200.0,200.0,200.0,24866,14800,10066,3,0,3,2550,0.002598625,0.0026325556,0.00017852031575257764
standard,bipartite,402,0.08,0,edmonds_karp,,,200.0,3650,15,28739458.0,28663094.466666665,343027.6672547954,200.0,200.0,200.0,434333,434333,0,201,200,0,0,0.028739458,0.028663094466666664,0.0003430276672547954
standard,bipartite,402,0.08,1,dinic,,,200.0,3697,15,3452584.0,3616086.2,386807.3546577343,200.0,200.0,200.0,35316,22382,12934,4,0,4,2871,0.003452584,0.0036160862,0.0003868073546577343
standard,bipartite,402,0.08,1,edmonds_karp,,,200.0,3697,15,29882458.0,29888769.533333335,233872.69809415145,200.0,200.0,200.0,455059,455059,0,201,200,0,0,0.029882458,0.029888769533333335,0.00023387269809415146
standard,bipartite,402,0.08,2,dinic,,,200.0,3592,15,2453625.0,2518447.3333333335,191758.5884996574,200.0,200.0,200.0,23550,14568,8982,3,0,3,2493,0.002453625,0.0025184473333333336,0.00019175858849965742
standard,bipartite,402,0.08,2,edmonds_karp,,,200.0,3592,15,29784917.0,29834547.2,410584.82795349386,200.0,200.0,200.0,451108,451108,0,201,200,0,0,0.029784917,0.0298345472,0.0004105848279534939
standard,bipartite,402,0.08,3,dinic,,,200.0,3619,15,2421541.0,2496880.6,213249.7727588138,200.0,200.0,200.0,23355,14676,8679,3,0,3,2483,0.002421541,0.0024968806,0.0002132497727588138
standard,bipartite,402,0.08,3,edmonds_karp,,,200.0,3619,15,29071959.0,29035189.0,380777.5058688656,200.0,200.0,200.0,441195,441195,0,201,200,0,0,0.029071959,0.029035189,0.00038077750586886557
standard,bipartite,402,0.08,4,dinic,,,200.0,3558,15,2449167.0,2524702.8666666667,183256.09787549337,200.0,200.0,200.0,23521,14432,9089,3,0,3,2501,0.002449167,0.0025247028666666666,0.00018325609787549338
standard,bipartite,402,0.08,4,edmonds_karp,,,200.0,3558,15,28282625.0,28831502.933333334,2106878.4519896274,200.0,200.0,200.0,421435,421435,0,201,200,0,0,0.028282625,0.028831502933333333,0.0021068784519896275
standard,bipartite,402,0.08,5,dinic,,,200.0,3578,15,2572875.0,2628919.4,187674.7476508989,200.0,200.0,200.0,24262,14512,9750,3,0,3,2597,0.002572875,0.0026289194,0.0001876747476508989
standard,bipartite,402,0.08,5,edmonds_karp,,,200.0,3578,15,29275208.0,29236975.0,504173.3746721322,200.0,200.0,200.0,440906,440906,0,201,200,0,0,0.029275208,0.029236975,0.0005041733746721322
standard,bipartite,402,0.08,6,dinic,,,200.0,3614,15,3347500.0,3472625.0,249598.67864061875,200.0,200.0,200.0,34057,21884,12173,4,0,4,2764,0.0033475,0.003472625,0.00024959867864061876
standard,bipartite,402,0.08,6,edmonds_karp,,,200.0,3614,15,28739375.0,28684000.066666666,356525.8776701848,200.0,200.0,200.0,431757,431757,0,201,200,0,0,0.028739375,0.028684000066666666,0.0003565258776701848
standard,bipartite,402,0.08,7,dinic,,,200.0,3593,15,3209000.0,3297780.533333333,222764.34895867194,200.0,200.0,200.0,33047,21758,11289,4,0,4,2839,0.003209,0.0032977805333333334,0.00022276434895867193
standard,bipartite,402,0.08,7,edmonds_karp,,,200.0,3593,15,29397042.0,29381088.933333334,374994.0551066798,200.0,200.0,200.0,443660,443660,0,201,200,0,0,0.029397042,0.029381088933333334,0.00037499405510667977
standard,bipartite,402,0.08,8,dinic,,,200.0,3579,15,3869041.0,3971183.2666666666,275630.840262444,200.0,200.0,200.0,36726,21674,15052,4,0,4,3132,0.003869041,0.003971183266666667,0.000275630840262444
standard,bipartite,402,0.08,8,edmonds_karp,,,200.0,3579,15,28402750.0,28349041.533333335,306170.29387787887,200.0,200.0,200.0,426230,426230,0,201,200,0,0,0.02840275,0.028349041533333334,0.0003061702938778789
standard,bipartite,402,0.08,9,dinic,,,200.0,3623,15,2637208.0,2813699.6666666665,466390.29875840293,200.0,200.0,200.0,24858,14692,10166,3,0,3,2620,0.002637208,0.0028136996666666666,0.00046639029875840296
standard,bipartite,402,0.08,9,edmonds_karp,,,200.0,3623,15,28578500.0,29166316.6,1505143.8877519704,200.0,200.0,200.0,430257,430257,0,201,200,0,0,0.0285785,0.029166316600000002,0.0015051438877519705
standard,bipartite,502,0.05,0,dinic,,,250.0,3656,15,3460209.0,3635375.1333333333,366288.11347565235,250.0,250.0,250.0,34576,22186,12390,4,0,4,3064,0.003460209,0.0036353751333333332,0.00036628811347565236
standard,bipartite,502,0.05,0,edmonds_karp,,,250.0,3656,15,39583625.0,39665686.13333333,488502.6489037507,250.0,250.0,250.0,599663,599663,0,251,250,0,0,0.039583625,0.039665686133333336,0.0004885026489037506
standard,bipartite,502,0.05,1,dinic,,,250.0,3670,15,3882208.0,4353872.066666666,881037.6683037264,250.0,250.0,250.0,36302,22270,14032,4,0,4,3295,0.003882208,0.004353872066666666,0.0008810376683037264
standard,bipartite,502,0.05,1,edmonds_karp,,,250.0,3670,15,38905667.0,39381830.6,1225681.5268498452,250.0,250.0,250.0,588645,588645,0,251,250,0,0,0.038905667,0.0393818306,0.0012256815268498452
standard,bipartite,502,0.05,2,dinic,,,250.0,3632,15,3456834.0,3617178.0,314599.8510634467,250.0,250.0,250.0,34457,22042,12415,4,0,4,3091,0.003456834,0.003617178,0.0003145998510634467
standard,bipartite,502,0.05,2,edmonds_karp,,,250.0,3632,15,37548750.0,38341858.333333336,1490176.908854336,250.0,250.0,250.0,560723,560723,0,251,250,0,0,0.03754875,0.03834185833333333,0.001490176908854336
standard,bipartite,502,0.05,3,dinic,,,250.0,3575,15,3994208.0,4064608.2666666666,218028.15791231667,250.0,250.0,250.0,37683,21700,15983,4,0,4,3588,0.003994208,0.004064608266666667,0.00021802815791231668
standard,bipartite,502,0.05,3,edmonds_karp,,,250.0,3575,15,36721916.0,36609074.86666667,448921.96452165354,250.0,250.0,250.0,551582,551582,0,251,250,0,0,0.036721916,0.03660907486666667,0.00044892196452165354
standard,bipartite,502,0.05,4,dinic,,,250.0,3621,15,3733333.0,3886716.6666666665,414943.307575981,250.0,250.0,250.0,36697,21976,14721,4,0,4,3333,0.003733333,0.0038867166666666664,0.00041494330757598104
standard,bipartite,502,0.05,4,edmonds_karp,,,250.0,3621,15,37279750.0,37717266.46666667,2134530.77408669,250.0,250.0,250.0,559650,559650,0,251,250,0,0,0.03727975,0.03771726646666667,0.00213453077408669
standard,bipartite,502,0.05,5,dinic,,,250.0,3593,15,3807333.0,3884078.0,210325.09822653118,250.0,250.0,250.0,36534,21808,14726,4,0,4,3303,0.003807333,0.003884078,0.0002103250982265312
standard,bipartite,502,0.05,5,edmonds_karp,,,250.0,3593,15,35610833.0,35625600.06666667,361022.960716483,250.0,250.0,250.0,532294,532294,0,251,250,0,0,0.035610833,0.03562560006666667,0.000361022960716483
standard,bipartite,502,0.05,6,dinic,,,250.0,3689,15,3220541.0,3323505.6,247820.96696399892,250.0,250.0,250.0,33374,22384,10990,4,0,4,2969,0.003220541,0.0033235056000000002,0.00024782096696399894
standard,bipartite,502,0.05,6,edmonds_karp,,,250.0,3689,15,37440083.0,37472077.666666664,431141.06409879244,250.0,250.0,250.0,567031,567031,0,251,250,0,0,0.037440083,0.037472077666666666,0.0004311410640987924
standard,bipartite,502,0.05,7,dinic,,,250.0,3581,15,3173000.0,3246252.8666666667,193288.06026345634,250.0,250.0,250.0,32787,21736,11051,4,0,4,2886,0.003173,0.0032462528666666666,0.00019328806026345634
standard,bipartite,502,0.05,7,edmonds_karp,,,250.0,3581,15,36577333.0,36628849.86666667,422891.5596757413,250.0,250.0,250.0,550320,550320,0,251,250,0,0,0.036577333,0.03662884986666667,0.0004228915596757413
